text,label
хорошо да,1.0
давайте по полной программе давайте по полной программе,1.0
нет мы вообще не делаем тор,2.0
никогда не интересовало,2.0
петя алло,3.0
да желаю,1.0
ну давайте если не долго говори,1.0
где это какой какой да,1.0
спасибо пока мы пользуемся конечно вашими салонами спасибо но пока без заданности сейчас немножко звонят всего доброго,1.0
включите мой номер из обзвона мне не нравится когда мне звонят мне не интересно,2.0
у меня я ничего в этом не больше нет,2.0
что слышу давай еще раз,4.0
ну сейчас мне некогда разговаривать я на работе,2.0
как индопомит сатовский он стоит у нас 540 тенге у нас его,4.0
а по поводу чего вы со мной хотите поговорить,1.0
что тебе можно пить да,1.0
ключи на да,1.0
да ореш,4.0
не не ничего но спасибо не не ничего но спасибо,2.0
ой нет не интересно как ты если,2.0
да кого,4.0
с отделом закупа нажмите пять чтобы отправить факт нажмите шесть или да,4.0
еще раз какой кредит,4.0
чего переводят чего переводят,4.0
спасибо вообще в другом город,2.0
больше ничего не река,2.0
мне интересно но здесь я связь плохая я вас слышу плохо,1.0
а 525,4.0
пожалуйста алло я вас не слышу,1.0
девушка вызвала уже что то предлагает или вы заказать хотите,1.0
нет мне ничего не надо это не надо спасибо все все,2.0
на кухне на стол сюда зачем,4.0
а если получается я сижу на гарантийне зарплату нету я дам я вам,1.0
от дальше решайте меня долгов не,2.0
блин юрия прикольно да,2.0
когда в борис поле буду я заберу лет,1.0
ну ее никогда не сдавали сколько можно уже позвонить я не сдаю и не задавала я живу не сама,2.0
вы кто на такси на такси,1.0
у меня ничего нет,2.0
ну такой да,1.0
все я да,1.0
я не понимаю да,1.0
я что то не поняла откуда вы вы алло,2.0
сейчас некогда понял сейчас некогда понял,2.0
получить 30 р на карту есть такая да,1.0
в каком случае я ничего не могу никаких перерасчетов я с не имею право,4.0
добрый день слушаю,1.0
мы же этот краснодарский край республика адыгея ростовская область здесь только,4.0
если есть вопрос юриста скажите да,1.0
не звоните мне по этому телефону никогда какими,2.0
станица динская краснодар,1.0
мне никакие услуги от ортопедических салонах на данный момент не нужны спасибо большое,2.0
спасибо погода,1.0
сегодня мне звонили оттуда она до часа и,4.0
эксперт и попали на переадресацию звонков наш кол центре данный абонент является нашим клиент,4.0
секс да нет ну,2.0
ремонт квартиры ну вот в данный момент нет,2.0
в принципе да,1.0
атека да наши,1.0
раскат компания не понял,1.0
я вас плохо слышу девушка я в машине не звоню я ничего не слышно алло,2.0
астахан сейчас подождите секундочку наверно нет,2.0
мобиль нажмите 1 отделам продаж автомобилей правда,1.0
нет мы твоя фирма по не делаем,2.0
андрей это живой человек вообще кто алло алло да да,2.0
да ну нитяк сейчас списывается будем да ну нитяк сейчас списывается будем,1.0
неудобно мне да сучка,4.0
е*** а да,4.0
так а какие запчасти,4.0
алло буду да продлевает,1.0
как не помню еще раз повторите пожалуйста,4.0
ой спасибо я все ноги выходящие никуда мне не нужно ничего спасибо большое,2.0
честно данный момент нет,2.0
раз окна да,1.0
пожалуйста оставайтесь на линии оператор ответит вам через,4.0
да весь,1.0
кость да,2.0
открой вкладки да,4.0
а ну не очень а что вы хотели предложить что то да,1.0
сейчас некогда да извини,2.0
не даем до 3000000 р за 15 минут не даем до трех миллионов рублей за пятнадцать минут,2.0
а другого ответа нету а другого ответа нету,4.0
никуда ходить даже не надо,2.0
да приду заберу,1.0
ибо я посещаю когда надо салоны у меня все есть кто необходимо спасибо,2.0
я не знаю для чего короче то есть никитин ничего не делать и так хоти,1.0
да да здрасте хотел бы узнать откуда это,1.0
ну что да,1.0
а новая коллекция пришла уже подскажите,1.0
спасибо я немножко в этой сети покупал более мне пока ничего не надо,2.0
вы куда звоните какой товар,4.0
это все давайте нет,2.0
а мне некогда сейчас извините,2.0
угу ладно так давай,1.0
давайте я к вечеру я сейчас могу разговаривать на работе,1.0
удалось посмотреть нет,2.0
да мне как бы сейчас не надо мне я на вахте нахожусь,2.0
2 650 але,4.0
наверное да и хотят больше,1.0
сейчас минуточку вы можете перезвонить минут через пятнадцать,1.0
реши да,1.0
спасибо говорить да,1.0
фак,4.0
ничего не надо мне,2.0
три часа семь дней в неделю в балансу документации с кредитом и другим сервисом вас,4.0
вы звоните магазин продавец такие вопросы не решает да,2.0
я интересовал да пока,1.0
а мне ничего не надо извините пожалуйста не надо мне ничего я старый человек ничего не надо,2.0
спасибо мы все что нам надо мы только у вас берем у нас есть карты мы вам ходим так что пока ничего не нужно,2.0
вы знаете я сейчас не выхожу из дома вот когда буду выходить тогда я,2.0
девушка пока не интересно до свидания,2.0
нижневартовский центр да,4.0
ну только мне не надо,2.0
вот она знает вот она знает,4.0
извините ничего мне не надо ни как бы спасибо до свидания некогда не на ту,2.0
остается даже сейчас не могу так ответить сразу,1.0
поставил звонок на удержание разговор будет продолжен пожалуйста нет,2.0
привет жду да,1.0
ой ну да,4.0
простамол але,4.0
мне вот просто насчет на счет чего мне,2.0
я понять ничего не понимаю что вы там говорите я понять ничего не понимаю что вы там говорите,4.0
а ските там напомнить 12,3.0
да да вы не общался,1.0
ну дочери да,1.0
после 7 звоните я здесь ничего не решаю после семи звоните я здесь ничего не решаю,2.0
это кто звонит откуда это это кто звонит откуда это,1.0
это кто со мной говорит,4.0
угу и что вы наболтали ничего не слышно,1.0
девочки давайте трушечки чуть попозже или я продлю кредит,1.0
подскажите какой банк,4.0
только не сейчас сейчас меня уже на совещание или уже нет,2.0
3005,4.0
ой в смысле девушка мне ничего не надо,2.0
мне ничего там не нужно пока спасибо вам,2.0
рабочее время вы можете оставить нам сообщение после звукового сигнала или перезвоните в рабочее время,2.0
1 секундочку подождите я сейчас выключи просто у вас,1.0
это не ольга это денис я ничего такого не делал,4.0
куда в больницу алло,3.0
послушай не звоните да больше,2.0
сейчас не очень да,2.0
кирилл иди сюда да,1.0
надежда извините я на работе сейчас не могу,2.0
я думаю да постараюсь,4.0
я всегда согласен да,1.0
да наталья сейчас секунду вот освобожусь посмотрит от все пока,1.0
один с краснодарским два бухгалтерии три или оставайтесь на линии вам ответ,4.0
по какому городу звонить откуда,4.0
продаю продаю дальше,1.0
нет нет мне это не интересно у меня нет квартиры чтобы ее ремонтироваться до свидания,2.0
это откуда а как от пока это откуда а как от пока,4.0
а вот что,4.0
веда алло,1.0
ну ка казань,4.0
а почему это вдруг вам интересно вы кто,4.0
надежда мне если не долго,1.0
не не не меня сейчас меня да,2.0
буба слушай,4.0
хочу заниматься с группой,4.0
чего чего я не слышу,2.0
я камень мально сумму или проще,4.0
да отвали,2.0
подождите пару минут,1.0
вторник,4.0
ой спасибо но мне сейчас пока ничего не надо,2.0
день месяц и год дату вашего рождения для перевода на пера,2.0
зарипов азат перемещусь,4.0
вы же заебали да,2.0
да я наверно да приеду но не сейчас как тепло будет конкретно тепло,1.0
адрес адрес погода доставка,1.0
